"","source"
"I1","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I2","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I3","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I4","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I5","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I6","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I7","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I8","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I9","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I10","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I11","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I12","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I13","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I14","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I15","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I16","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I17","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I18","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I19","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I20","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I21","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I22","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I23","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I24","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I25","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I26","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I27","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I28","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I29","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I30","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I31","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I32","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
"I33","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I34","-0.98 F1 + 0.42 F2 <br>+ -0.45 F3 + 0.57 F4"
"I35","-0.35 F1 + -0.49 F2 <br>+ 0.94 F3 + -1.06 F4"
"I36","-0.2 F1 + 1.19 F2 <br>+ 0.5 F3 + -2.25 F4"
